Date,y,DIS,META,MSFT,NVDA,NVS,SBUX,WMT,XOM
2023-11-13,223.7100067138672,88.34857940673828,327.9372863769531,363.9482116699219,48.60194396972656,90.62762451171875,101.50274658203125,55.02695083618164,101.28857421875
2023-11-14,237.41000366210938,89.95868682861328,335.0301818847656,367.5114440917969,49.6375617980957,91.4174575805664,103.55221557617188,55.0171012878418,101.6785659790039
2023-11-15,242.83999633789062,92.78378295898438,331.4438781738281,367.6606140136719,48.86984634399414,90.34829711914062,103.973876953125,55.716094970703125,101.06433868408203
2023-11-16,233.58999633789062,93.35670471191406,332.9182434082031,374.1253356933594,49.46162796020508,90.59872436523438,105.13098907470703,51.207096099853516,99.8943862915039
2023-11-17,234.3000030517578,93.0010986328125,333.76507568359375,367.83966064453125,49.27969741821289,91.4174575805664,103.52278900146484,50.980655670166016,102.33177947998047
2023-11-20,235.60000610351562,93.870361328125,338.6763000488281,375.3883972167969,50.39028549194336,91.74494171142578,102.27742767333984,50.96424865722656,101.88330841064453
2023-11-21,241.1999969482422,93.29743957519531,335.69769287109375,371.04217529296875,49.925453186035156,92.8333511352539,101.67925262451172,51.14802169799805,101.84430694580078
2023-11-22,234.2100067138672,93.90987396240234,340.1904602050781,375.7961730957031,48.69791030883789,93.51722717285156,101.4341049194336,50.75750732421875,101.40557861328125
2023-11-24,235.4499969482422,94.88778686523438,336.9429016113281,375.37841796875,47.75825881958008,94.5285873413086,100.78689575195312,51.21365737915039,101.95155334472656
2023-11-27,236.0800018310547,94.00865173339844,333.4263610839844,376.552001953125,48.224082946777344,94.143310546875,100.37504577636719,51.446651458740234,101.35681915283203
2023-11-28,246.72000122070312,91.37123107910156,337.70001220703125,380.6197814941406,47.80323791503906,93.4305419921875,99.21793365478516,52.060325622558594,101.29833221435547
2023-11-29,244.13999938964844,91.37123107910156,330.93585205078125,376.7907409667969,48.122127532958984,93.44017791748047,97.9137191772461,51.22022247314453,99.77738952636719
2023-11-30,240.0800018310547,91.55891418457031,325.9050598144531,376.85040283203125,46.752628326416016,94.29742431640625,97.37438201904297,51.09223175048828,100.16737365722656
2023-12-01,238.8300018310547,91.45026397705078,323.5839538574219,372.4743347167969,46.74762725830078,94.51895904541016,97.27632141113281,50.649208068847656,100.4111099243164
2023-12-04,235.5800018310547,90.88720703125,318.80218505859375,367.1335144042969,45.493099212646484,95.3473129272461,95.70735168457031,50.636085510253906,99.8651351928711
2023-12-05,238.72000122070312,89.6821060180664,317.07879638671875,370.4951171875,46.55280303955078,93.40164947509766,93.68730163574219,51.10535430908203,97.92497253417969
2023-12-06,239.3699951171875,90.38343048095703,316.2419738769531,366.7953796386719,45.4901008605957,93.47870635986328,95.13858795166016,50.55076217651367,96.6282730102539
2023-12-07,242.63999938964844,91.22306823730469,325.3471984863281,368.9336853027344,46.582794189453125,92.39991760253906,94.5698471069336,50.218074798583984,95.95555114746094
2023-12-08,243.83999633789062,91.98614501953125,331.4837341308594,372.19586181640625,47.49253463745117,92.75630187988281,94.7365493774414,49.691062927246094,97.05725860595703
2023-12-11,239.74000549316406,91.37171936035156,324.0421447753906,369.2817687988281,46.61378479003906,93.70023345947266,96.21726989746094,49.81623077392578,97.12549591064453
2023-12-12,237.00999450683594,90.25186920166016,332.9481506347656,372.34503173828125,47.643489837646484,94.55748748779297,96.2466812133789,49.85575866699219,95.59481811523438
2023-12-13,239.2899932861328,91.99605560302734,333.4661560058594,372.3350524902344,48.07437515258789,96.04081726074219,96.20746612548828,50.741798400878906,96.44302368164062
2023-12-14,251.0500030517578,93.09608459472656,331.90216064453125,363.9409484863281,48.33629608154297,95.23172760009766,95.94269561767578,50.122554779052734,99.03643035888672
2023-12-15,253.5,92.62039947509766,333.6455078125,368.7148742675781,48.87614059448242,93.81582641601562,94.87383270263672,50.310306549072266,98.37345123291016
2023-12-18,252.0800018310547,92.02578735351562,343.3085632324219,370.6243896484375,50.06280517578125,94.60565185546875,94.68751525878906,51.044837951660156,99.10466766357422
2023-12-19,257.2200012207031,93.08617401123047,349.0267333984375,371.2311096191406,49.58993911743164,94.6730728149414,95.82501983642578,51.22929382324219,100.4111099243164
2023-12-20,247.13999938964844,90.45006561279297,347.95086669921875,368.60546875,48.09736251831055,93.56539154052734,92.8733901977539,50.62981033325195,98.73418426513672
2023-12-21,254.5,91.19332885742188,352.7425537109375,371.50958251953125,48.97611618041992,94.49005889892578,93.48136901855469,50.98883819580078,99.18267059326172
2023-12-22,252.5399932861328,90.20231628417969,352.0451965332031,372.5439453125,48.816162109375,95.11614227294922,93.43233489990234,51.59820556640625,99.35816192626953
2023-12-26,256.6099853515625,90.13294219970703,353.4797058105469,372.6235046386719,49.26502990722656,94.92350769042969,93.81477355957031,51.51914978027344,99.58240509033203
2023-12-27,261.44000244140625,89.56806182861328,356.46832275390625,372.0367126464844,49.402992248535156,96.04081726074219,93.44214630126953,52.00334548950195,99.11441802978516
2023-12-28,253.17999267578125,89.58788299560547,356.9564514160156,373.2401123046875,49.507965087890625,96.29125213623047,94.06973266601562,51.90123748779297,97.68122863769531
2023-12-29,248.47999572753906,89.47887420654297,352.6130676269531,373.9959716796875,49.507965087890625,97.25445556640625,94.14818572998047,51.92758560180664,97.47649383544922
2024-01-02,248.4199981689453,89.89510345458984,344.97222900390625,368.8540954589844,48.15434646606445,97.2833480834961,91.85355377197266,52.46778106689453,99.79688262939453
2024-01-03,238.4499969482422,90.82666015625,343.1591491699219,368.5855712890625,47.55551528930664,100.96277618408203,91.42208862304688,52.471073150634766,100.63536834716797
